kh-qx4ncshwrucb5_7amka	Chuck Norris is the only known mammal in history to have an opposable thumb. On his penis.
IZ4Zz1hVRJmILsDoQb2i0Q	Chuck Norris dunks onion rings in his morning coffee.
pjwdD7muSvC4mhTZcvsdRw	Chuck Norris is in love with bruce lee
qpAkJ2bxSXiU-yX7W-cW0w	The reason why Chuck Norris was made is because hes freaking badass.
z7WtluYBRcK6wGv2zI77ow	Chuck Norris wears white after Labor Day.
rTHY_pkvRYCciGyrEgAhkw	Chuck Norris can crush walnuts between his ass-cheeks. He can also do this to beer kegs and human skulls.
gjcgdPlIRhGhXe5WmiOysw	A mugger thought he was going to take Chuck Norris' money. His funeral is tomorrow.
DpoMtfJOQ--8s13pW5lP-g	Chuck Norris once hit a deer with a car ..... a parked car !
8mCPKrGPRlGYWE_JoNXC6w	Chuck Norris does not party on Fridays. He parties EVERY HOUR! Infact he is partying right now.
6-fJwzllQA-s7UoSmiNbtw	It can be said that Chuck Norris has a foot fetish - he loves the sight of his own foot disintegrating assholes' heads.
IIkVw76ZRUqBwu-uln-RZA	Chuck Norris knows where Barack Obama was born.
NzWYqFJjQ-yx5Av8ZBnZzA	Chuck Norris once made a kid cry with one eye.
tjkKio8kTeyVwsGczqCRdw	Chuck Norris once ate a marketing director's heart.
gESM0V3fS3-LCqy_UnkOrQ	Chuck Norris can turn in a blank paper at school and get an A+.
kGc7rLNcQ528tNZxRwbuTg	Chuck Norris can hear colors....
IjqNNWKvSDeVKaI82PaT1g	One person stated that Chuck Norris has forgotten more about killing than anyone will ever know. That is not true -- Chuck Norris never forgets. Ever.
LRZVL_XXQDmrxLm25Z2kxQ	Chuck Norris once participated in the running of the bulls, the bulls were running because chuck Norris was behind them
ObEoxv_YRM2O2DhxaSmBbQ	It took Harry Potter 7 books to defeat Voldemort. It only took Chuck Norris 7 words.
9fTch5qjSY2YxJ3YIli6CQ	You can lead a horse to water, but Chuck Norris can make him eat Tequila jello shots.
VQ1MZUz_RCK10HXr76itLA	The real reason the Titanic sank was because Chuck Norris want to get off and go for a swim.
xMVa7AAyQdCy5fpPQ9ST0A	the tide recedes because it knows Chuck Norris is coming
Q4-E4ZfoSJCio0SDcckriQ	Chuck Norris went into a restaurant and ordered a beef steak. The waiter asked him how would he like his steak cooked - well done, medium or rare. Chuck Norris said - "Alive".
MF-lRAwQSFG3VHcwL2g-VA	The only man alive that scares Chuck Norris is Chuck Norris.
se-vauWZR4-6G2466m0omA	Chuck Norris won the Tour De France...on reverse
IUltEG8kQOKXFgswV7ZOoA	one the boy said HELP HELP ITS CHUCK NORRIS
D8ayjOF8RhWxjfbHZkSguA	To Chuck Norris, every zoo is a petting zoo.
VHzcKLMITl6QsRaayC34TQ	A Jehovah witness once knocked on Chuck Norris door. Chuck Norris let the Jehovah witness into the house and then roundhouse kicked him out the window. The man tried to sue Chuck Norris for assault but could not prove anything since there was no witnesses.
az-Xt46aROGRStS0yTYQew	Christmas is canceled this year. Chuck Norris told Santa no more Christmas.
fkqegKXjSISVhH1ao_FmwA	Scientists use Chuck Norris' spectacular kicks to calibrate their earthquake warning systems
oPuAD3CdSnmxKl56fxSeLg	Chuck Norris's body temperature is 98.6 degrees... Celsius.
4t5ClhHHSvaM6dKEPYQGRQ	God said "Let there be light!"  Chuck Norris said "Say please."
yk9AnA12TyO0ddRPfkFlSw	Chuck Norris doesn't get 2-day deliveries from Amazon, he gets his order the same day
nOe0g4RMSGuFQTIw1Nf4sw	Space only exist because it afraid to be on the same planet as Chuck Norris
anSZmsjFT2u_SBnAZzHPew	Chuck Norris is who Cliff Richards' heart was given away to last Christmas.
ezudm-intc6uvfuzreclpq	If you spell Chuck Norris in Scrabble, you win. Forever.
R6p-8YiiRIKoOjl6evtG4Q	Chuck Norris nags and bitches at women for leaving the toilet seat DOWN.
maAWglMPTPOp1tqZXleV7A	Chuck Norris sold his soul to the devil for his rugged good looks and unparalleled martial arts ability. Shortly after the transaction was finalized, Chuck roundhouse kicked the devil in the face and took his soul back. The devil, who appreciates irony, couldn't stay mad and admitted he should have seen it coming. They now play poker every second Wednesday of the month.
L-HW4LIjQFydAt4OLfqEcQ	Chuck Norris Beat the guinness book of world records every day just by walking.
9O7seT6CQXOahpAqHuDUvA	If Chuck Norris had a pennie for every time he roundhouse kicked someone, he would be the richest man ever.
ynHzcCe-S9-EIBD8-7WMKQ	Chuck Norris recently received a Nobel Prize for his groundbreaking role in "Firewalker".
vCunn8h6T-ekfTDCB1lO2Q	Chuck Norris doesn't start his alphabet with an A. Instead he starts it with a Z, and ends with CN.
Lpj9bMdWSvCMPvZWGhN7Dg	Chuck Norris graduated from preschool, high school, and college before he was even born.
uIEb8Ji2R7Gzq19khEadrQ	Chuck Norris never gets 'angry'. He gets nukey.
J6EKCG24SxyUfG9XBC4GcQ	Chuck Norris never 'visits' a foreign land... he invades it
73SjRIGESoyBRTlZ3oZYgg	Why did the chicken cross the road? To get to Chuck Norris's side.
Lj-boQ3uTVi_M6-sHf70zQ	Chuck Norris has eyes in the back of YOUR head
KalqDWhxSwqk32xjK-3-Sw	Jimmy Fallon has to ask Chuck Norris permission "to make it rain up in here".
wk18bvRSRkiAItCGGpU8Dw	Silence and peach terrifies Chuck Norris.
3c65d1D8SI2OsCBTObIN6g	the police once clocked Chuck Norris doing 100 mph while walking to the corner store
wwT2fo7rR_uazh446CLD6g	Isac Newton discovered gravity because Chuck Norris chucked an apple in his face from the moon.
1OEbwlF5Tti4INZDt4ocjQ	GOD said he created humans in his image he did not say anything about Chuck norris
s4SiZqBBSvCZFEcN1Cu_Sg	The four corners of the Earth are all in Chuck Norris' back yard
0vF0aJXwTOKoCUJQpa8Wkg	Chuck Norris has a heart as black and cold as the most lifeless corners of outer space.
M-yj_G4mTfy7Jb3mx60yWQ	Chuck Norris likes to force-feed Navy SEALs fish.
b0eqwlSHSEGBxurQej7VTg	When Neil Armstrong stepped onto the Moon, Chuck Norris roundhouse kicked him 900 yards and said, "That's one giant leap for a man, and a long damn wait for me."
Xwl8fLSjQEKb7WyvzmryLw	White noise is just the gathered screams of Chuck Norris' victims.
UWY_XDcuQIykOzobaROZOg	Adam and Eve weren't the first people on Earth, Chuck Norris just kept a low profile.
pA5WA6hFRWK2fUBWVdn_zA	Chuck Norris doesn't wilderness survival skills. The wilderness needs Chuck Norris survival skills.
7OaYUUp3TmORY4ZYR-6kpQ	Chuck Norris recently wrote a 2000-page compendium about how to properly clean your belly-button lint. The book won every literary prize around the world in both fiction and non-fiction categories. Even the Kindle Edition of the book has recently surpassed the Bible as the most read book ever.
bZBob9lkSGukDMG_qwnGyA	Chuck Norris can be totally understood by Russian people, by simply speaking plain english and adding a '-ski' at the end of every sentance.
jMfNAnpOSg2gi9g2gxiYxA	Chuck Norris can beat an Englishman in an impersonating British accents.
XRsqNZ-FRumugLBwgyHBdg	Chuck Norris doesn't chew gum balls. He chews bawling balls.
UkPo8NLvRh6-shYmqpo-3g	Chuck Norris' favorite sexual position is Chucky-style.
ZlTOtKHFQwm1OS85olTalQ	Kings, Queens and twins sleep on Chuck Norris sized beds. However, Chuck Norris sleeps ontop of a 14 story bunk bed.
S2mh5lyPScSS5D50Fe49Rw	While waiting at the drive up window at the local KFC for his order of lobster thermidor, Chuck Norris chugged a gallon of Wild Turkey. When his order arrived, he barfed in the cashiers face and drove off laughing.
mBg6sBhBQImuJ58MqwwVeQ	Chuck norris does not save people's cellphone numbers.  If he wants to call He guesses the number and always guesses right  Chuck norris never learned to drive. He just knew it  Chuck norris farted once.It was the 6 august 1945 in hiroshima japan.During world war II. The media covered him up saying it was an atomic bomb   My email adress is nmkauka@hotmail.com. I'm a humorist  #A_Reason_To_laugh
fVHA5OZ-QEyC9ZspKKVqGA	Chuck Norris can ride his bike with no handlebars..............or wheels
Z9_eIk0zQSmnTr7vKb9ExQ	Chuck Norris can clip his left hand fingernails...with his left hand!
Rrh0D0QSQNGyjC9-2e1cyg	Only Chuck Norris is allowed to take a dump off the Golden Gate Bridge. Onlookers boating in the bay celebrate the event by getting shit faced before the party drinking begins.
PFjGOgOkTRaEJ-MKXgUCdg	Chuck Norris was asked if he had ever gone skindiving? Chuck replied "no, but I've gone muff diving hundreds of times".
S6XHf9BbRKWMkj3eZSm-Ow	Chuck Norris is rated XXXXXXXXXXXXXXXXXXXXXXXX for extreme violence and sex scenes.
baXxcGBqQG6an7udXMTQWA	When Chuck Norris plays a game, every minute is potentially "Sudden Death" for his opponents...including cards and board games.
vhxhe9-yto2ibeyqpb2hpg	Crop circles are Chuck Norris' way of telling the world that sometimes corn needs to lie down.
-ZDY1AgtQUKJWM0sWKQvcA	Someone once gave Chuck Norris the finger.....he keeps it in a pickle jar.
ZV56fykST7-Zf8rv9orxuw	Chuck Norris can kill the chicken in Zelda.
ZIWAvJB6QQeKXMMrr39SdA	When Chuck Norris was 9, his girlfriends father told Chuck to stay away from his 23 year old daughter.
y5g77YfFTlOQonHbDuahGQ	America is not a democracy. Its a Chucktatorship ruled by Chuck Norris.
PsNm6wpnRk-ost-tWHtzxA	Chuck Norris beat gravity to the bottom
rc6-b6moRZywsVze1-xFXA	Chuck Norris crab fishes the Bearing Sea using only a snorkel and a laundry basket.
PCG7B-XOTB2eCUBnqYfNCA	The Green Bay Packers challenged Chuck Norris to a football game. Final score: Norris 274, Packers (-96).
3wVyRIDSRTGDPB7EBzdGLg	Chuck Norris once kicked a baby beluga whale into puberty.
SVJyvmXpQN2aJgdF1PqlQw	Chuck Norris was in a Jack Ryan movie. He was The Sum of All Fears.
t2WA6My4RRiWaBGlbHMvZg	If you looked up 'legend' in the dictionary, you would be immediately decapitated by Chuck Norris for being dumb enough to not know that word.
T-A2A15hQfypHc__-eijbg	When Chuck Norris go's to Mcdonalds he turns everyone into an unhappy meal.
fsQoNIKUQ_OCqLLxkKZYbw	Today is Chuck Norris' birthday. But he does not age.
IjGEWO0_TOOHiOjBEpnoGA	did you ever notice that quidditch rhymes with spinach so harry potter is actually Popeye and we all know Popeye is actually Chuck Norris's penis so by that logic Chuck Norris's penis eats spinach flexes, and avada-round house kicks you in the face!
uuyvAY9ZTtSnXpiQAMyYVQ	Martin Luther King may have had a dream, but Chuck Norris had a body count.
YzbEgz5TRhicljT3p2RsDg	What doesn't belong on this list: 1)Your wife, 2) your kids, 3) meat, 4)Chuck Norris. Ans: #4 Chuck Norris. You can beat your wife & kids half to death if you want to & you can also beat your own meat. But you can't beat Chuck Norris.
FUBtj7n3TCOrpv1k4APF5w	Chuck Norris frequently gets challenged to compare penis sizes with smartasses. Chuck always simply pulls out enough to win.
UaKi--HVQpC3gE4uPsigaw	Physicists have replaced the term Big Bang with Chuck Norris.
oH5TGBkUR_2tEnQWB4llsg	Chuck Norris drinks bear milk.
RecRv2ZOQ3eOMkB2deHFHg	Chuck Norris only ever broke a sweat once, because it stayed broken.
htuWzM0mSTShRcjzwseDqw	Lots of guys consider themselves to be bad-asses. Chuck Norris circumcised himself when he was 10 days old.
p_gFaAePTzCCoid3L0qqfg	Katy Perry kissed a girl to get attention from Chuck Norris.
AnBWx135Qf2t-CF9DFMiLw	Chuck Norris uspio uraditi zadaću da mu prođu svi autotestovi troll_Gk3kaU9Q9qno7KwCNFYTw	To err is human. To forgive is divine. To kill is Chuck Norris.
4zJPK5WuQJeEZ-AN8XKYSg	Chuck Norris can head-butt a cannonball back into the cannon it was fired from. Without blinking.
Zd8oOCk2TjWnugquiYPgEA	mount st. helens was never an active volcano, Chuck Norris just went a few days without masturbating
wuIq22vCQriT6iOv_94dmA	Chuck Norris once visited with the Cherokee Nation Tribal Council. It was there that Chief Running Wolf presented him the honorary Native American name of: Chuck Norris.
fh3awkNWS8qZ5VDOtK7nGg	Chuck Norris can literally undress a woman with his eyes.
lj5tmV9WQpOy0SvKdAZ-rQ	Life is like a box of chocolates until Chuck Norris roundhouse kicks you.
yNualoRcRYukITzU-yleow	Chuck Norris makes great charcoal grilled cannibal kabobs.
K_JFovFsTRCxu0rWey7rGA	There are two meanings for The Rock: 1) Professional wrestler Dwayne Johnson, and 2) Chuck Norris' dick.
Z51v-Kg5Qveu6gLnoeGOpQ	god created the world, because Chuck Norris let him
v6Wo1N4KQQqvVeDBoSNiCg	Go to Joke #51, for this joke. This was hacked by Chuck Norris.
MHycK9R7R-uIPrhgyceVBw	Jesus didn't rise and ascend to the heavens on the 3rd day. Chuck Norris round kick him back to life and simultaneously killed him again sending him to heaven.
wRR3mbdySdO8IrMx4CW48g	only you can prevent forest fires, only Chuck Norris can prevent roundhouse kicks..he just doesn't try
X8YuIFvWQmqbZT_SJnmrXA	I fought the law and................Chuck Norris won.
SMLs1PXuQJq2BanyxhgAUg	Chuck Norris' crotch is considered a weapon of mass destruction.
ryP7IfHLTTSlMIjc22lPBg	The original title for Alien vs Predator used to be called Alien vs Chuck Norris. But no one wanted to pay $7.50 for a 10 second movie
boEkNqHfTpeQPiiFvt8Hmw	Willy Wonka gave an everlasting gobstopper to Chuck Norris. The flavor lasted 2.3 seconds.
VTATbNCNRoS15jGF-9Wsxg	Florida was only made a state, because Chuck Norris wanted some orange juice.
XO8bBespRgClq05lTsnsIw	Most people receive Chuck Norris' kicks while he is wearing his cowboy boots. Receiving a bare-feet Chuck Norris roundhouse kick is considered auspicious in some countries.
BOqrft1UTXuARuRQaBAjyw	The mayor of San Antonio, TX has hired Chuck Norris to lite his farts for the evening 4th of July fireworks program.
WK0uCwczSqCdfu0vgN_ooA	Superman is afraid of only two things, kryptonite--and Chuck Norris.
baU_ML8WRKSlDJFianFgKA	The official title for the Academy Award for Best Actor is "Best Actor Not Named Chuck Norris."
sXNHPAVVS--P9AdxvG2Vwg	Chuck Norris pee'd his name in the snow at Aspen. He was standing in Dallas.
ExEbPwVDQJ2VwceyDfkndw	Chuck Norris' penis has biceps.
7vz19oS1QMa8I4WQ1Doolg	Chuck Norris has seen it all, and done it all, so many times that he has long ago lost count.
IliwK4yQTz2hilm170wDaQ	For Chuck Norris, pain truly is the cleanser.
mZgWVGeDTOGai3kYTkCn1g	Clearly, Chuck Norris has more bad-assedness in his beard than all of the other Expendables combined and squared.
zqwzw8HUQvyUg8BdahwTjQ	Chuck Norris is, in theory, banned from visiting Greenland as his body heat will melt the glaciers. I say 'in theory' because nobody can fucking ban Chuck Norris from anywhere. It's just lucky that Chuck don't give a shit about Greenland.
tpQX1hAyQHSolsCpbTiNcA	Chuck Norris has a photo of his dick on his driver's licence. It folds out.
obr8yor_qv6rdrnnvcgayw	Every time Chuck Norris smiles, someone dies. Unless he smiles while he?s roundhouse kicking someone in the face. Then two people die.
N0J-MijESAynU1jSx5Gv1w	Yes, Chuck Norris' genitals are naturally huge & not, as rumored, infected with Elephantiasis.
taGXp5TFTzaBejdNlWn6SQ	Chuck Norris counted to infinity - twice
OuMP_rpkSGKomnwps_9myQ	Chuck Norris made Twisted Sister take it some more.
kRCicvhcSlanwuB6SzOKvA	Freddy thought he was the true nightmare until he met Chuck Norris who roundhouse kicked and from that day Freddy hides in fear thinking a nightmare in texas
KzjLl7yISWKXYZd1t-Br5A	When Chuck Norris was born, he poped out with a tactical knife in his hand.
n50DbSYnS3WwSPjrRzGbSg	Chuck Norris has a reputation not to be sneered at. Seriously, don't sneer at him. You'll get a boot to the kidneys.
_FFaGZQ3S_OMjMTY8SEyMw	Chuck Norris fears nothing. But fear fears Chuck Norris.
_1B0r61TSaCXWAXE4gIZkw	Superman is able to leap tall buidings in a single bound. Chuck Norris is able to tell them to get the hell out of his way.
CP_porA6QPaMudxHQaSSIg	Superman can stop a bullet with his teeth. Chuck Norris can cause a bullet to implode, before exiting the chamber.
qzsGb1ciTte0zZHL7I2kRQ	Chuck Norris can slam dunk a bowling ball from the half court line of a tennis court.
_KN3_c6TSliqH_VT3wFttw	For 'American Sniper', Bradley Cooper got acting and beard-wearing tips from Chuck Norris.
L5UIWlaxRqGEjx56MstovQ	When Chuck Norris goes for a swim, the sharks panic.  You wanna defy gravity? Let Chuck Norris give you a roundhouse. No Wait, no one "LETS" Chuck, he just does.
pJgc-haWQyOk6_3zCk7Dxw	Chuck Norris won an Oscar for his appearance in a television commercial.
S5MhJGJmTN6SammS2fL13g	If you ever piss Chuck Norris off while he is standing in the light of a full moon, he will naturally turn into a werechuck and fuck you right the hell on up.
dP_0_ITOTom4xnxLkOr7HQ	Arnold Schwarzenegger says "I'll be back!". Chuck Norris says "I'm back!"
FsviuSpJSgGGz8PwPsLvUw	It doesn't matter what those bitch-ass Rolling Stones say, Chuck Norris CAN always get what he wants.
sppb4uoaQTWwoc7ti7IfIw	Chuck Norris is the pricipal of the School Of Hard Knocks. Or as it's officially called, The Charles Norris Xavior's School For Gifted Bastard Offspring Of Lord Norris. It is responsible for all human death in the world.
NHbyWimRQde4LYaDetooBQ	You know that scene in Superman where Superman flies around the Earth to reverse it's spin and send time backwards?   If you watch it frame by frame you will see a disappointed Chuck Norris at the North Pole shaking his head when he realizes that Superman is trying to do something impossible for a mere mortal of Krypton.   But to help a brother out, Chuck Norris lets Superman get up to speed and roundhouse kicks the Earth to reverse the spin. He never did tell Superman the truth....mostly because he was still banging Lois Lane.
fWEUOKd0SYSjuPI7CDfBnw	Chuck Norris stomped on King Kong. After that, King Kong became Alvin Seville.
5u_Cu0bVTtOkXRcQaAAPwQ	Chuck Norris has a Lucario named Telepatly. He doesn't use it in battle often, as said Lucario always wins on turn -247 to turn 3, and that would be even more unfair. However, said Lucario lives up to its nickname like heck.
LsCVUvEHQ0GXHr5rWPNh-A	Jason didn't drown Chuck Norris pulled him under
ntRxCn4cQnyTN2Azpd2ZAg	'Original Sin' actually refers to the first time anyone ever tried to fight Chuck Norris.
M_4KNb_EQQOyRR_UNtNdew	Chuck Norris sits on his tv and watches the couch.
4_5vpG7oTIi0oE6ytrmBGg	When Chuck Norris ejaculates, the echo can be heard for miles.
ALMkqOz_TQKjMK1QRHDa6Q	A reporter once referred to Chuck Norris as a 'God-fearing patriot'. Upon reading the article, Chuck Norris immediately sprinted to the fucker's bomb shelter and turned him into hummous. Chuck Norris fears nothing.
uq-vwbx5t2g5xp95aggyxa	When Chuck Norris break the build, you can't fix it, because there is not a single line of code left.
MicbV0pkRdmFSYUrdt1ZKA	Chuck Norris ate tiny the tiger for breakfast and it was GGGRRRREEEAAAT!
VEFBMQRrTy2fVWB9Na8t0A	The real reason of the tsunami was because Chuck Norris threw a rock from texas and it landed in the indian ocean.
sC-0UNojT1OOWx6nJA1r3A	There is no such thing as global warming, just Chuck Norris farting after him eating a bean burrito.
8jXeBbRMSbKwN-Rt097h0A	Chuck Norris did offer to dance with the Devil on the pale moonlight but the Devil said "not a chance, not with Chuck Norris"!
uSeGCOlOQaORN_f4wtsLNg	The color brown exists because Chuck Norris scared the shit out of while.
70mKmpWrQ9-onbyK6moAJQ	In WWII, the U.S. Army wanted to name their tank the Chuck Norris Tank. Chuck said it was not badass enough to be named after him. We know it now as the Sherman Tank.
c-3yrrglr0ouxifeo2rzsw	In the movie "The Matrix", Chuck Norris is the Matrix. If you pay close attention in the green "falling code" scenes, you can make out the faint texture of his beard.
Ma1tKI0LSziPxP2uYEElAg	The duck billed platypus is the result of a duck being roundhouse kicked in the head far to close to a beaver by Chuck Norris. The fact yay they have a pouch is a testament to the genetically altering properties of a Chuck Norris Roundhouse kick to the head.
gDorErXbTNSSwOMBPGo_lg	Lindsay Lohan once swam through 150 yards of the Fort Worth, TX sewer system just to get a peek of Chuck Norris' asshole while he was taking a shit.
KDCVFFi-RjS3_RH50D4XvQ	A child once got a Chuck Norris action figure for his b-day and he made the mistake of calling it a doll... he hasn't come out of the coma yet
9b69VpxvS--j9Nb2HlyO6g	Chuck Norris laughs at Tiger Woods' pathetic attempts to get to his level.
_pNDVaudRISSjG1cVYTM3Q	Chuck Norris once beat Bobby Fischer at chess in a single move. That move was a roundhouse kick. That's why Fisher went crazy and died at the same age as the squares on a chessboard.
S8JeYXgPTCyxHlskLbC6qg	Chuck Norris never actually gets hit by punches and kicks, he actually is performing a fighting style where he smashes the limbs of his foes with his face.
8-xhj_T8QQmfqnTGNOON-w	when women r having sex with god they all scream out "Chuck Norris!!!"
VUWK2b0lQEuSMpwdwo0TeA	Submission of Chuck Norris facts is known add inches in males and increased bust size in females.
dnKbjh3RSfGXfcp5Rwiy9Q	The Grand Canyon was caused by Chuck Norris pissing there--Once.
TyMcsGpTQ_-lAcj3s-grQg	Paul Newman has Chuck Norris's Own salad dressing and mayo.
AgqkfzinSrucbYB9A1Agqg	People add inches to their biceps by using dumbbells; people add a foot to their bicep submitting Chuck Norris facts.
KbE6YXouSR6C9isJ1sJwHw	Chuck Norris invented beer & pizza. He also invented the wheel but it doesn't taste as good at a Superbowl parties.
2YMRhljsSLytVi5KdVY5KA	Chuck Norris doesnt clean house the house cleans him
dTwjPFFAT_-Fmwj8ffiKtg	Chuck Norris can kill Liberty Prime in one hit with a BB Gun.
d_JgUCXFSDGyLMq5NQjw3w	Chuck Norris tied the New Boyz down with one hand behind his back
hxX8J_SMTeCwao3frW9gbQ	Robin Hood was partially based on Chuck Norris, in that Norris would rob from the rich. But Robin Hood never roundhouse-kicked the poor. Or the rich, for that matter.
O-M07w1JTTWLnWBHeRk9Kg	SNAKE PLISSKIN MAKES CHUCK NORRIS LOOK LIKE A SCHOOL GIRL BABY BACK BITCH !!!!!!
g8M92DccRYqmF5wh2hnr_w	The Chuck Norris commandments: Thou shall not misuse your lord Chuck Norris name. (Chuck 1:3)
3q5-Gt4wQSWG2ofCSy031Q	Chuck norris is my nigga.
jSy8jwZLQgKNJW0PBhMZAg	Chuck Norris can turn out the light, brush his teeth and get into bed before the room gets dark.
gl2szsfwsxulm8ciyqjivw	The air around Chuck Norris is always a balmy 78 degrees.
QJJWKkgfQ82g3ZESNhS9Aw	Chuck Norris beat a game of Super Mario Bros.(1985) by just pressing the start button
teltuml1sggj65zsyrsjtg	Chuck Norris can blow bubbles with beef jerky.
F6v0fEXeREek9FnF6_9k4A	Chuck Norris was being interviewed and was asked what he thought about politics. Chuck said "I think Joe Biden puts the "Vice" in Vice President"!
KJS1qY2ITeK_K7RcBE0M-Q	Every year on February 2, Chuck Norris eats a live groundhog, predicts the weather around his mansion for the entire year with 100% accuracy, then bangs Bill Murray's daughter.
IGRCDmDOT8CHjzfNA9kpwg	Chuck Norris' crotch cakes do not taste like Twinkies.
KQKsLxaJT7asihUnzcsaJw	Chuck Norris has gone green! He just ate the Incredible Hulk.
7JhzEph_SrWlmhki1B29gQ	Chuck Norris Chuck Norris Chuck Norris Chuck Norris Chuck Norris Chuck Norris SHUT UP! no. Chuck Norris Chuck Norris Chuck Norris Chuck Norris Chuck Norris (keeps on saying it.)
iLXmhMhYRxuEyB37msB5mw	Chuck Norris has a vacation home on the sun.
iYX_RKt8R0uhwaVexbfE6A	Chuck Norris once went over Mach 4 using a hang glider.
wC7XMlsAT_O-eJoXWDjRmQ	Chuck Norris makes a world famous tray of chocolate chip/macadamamia flavored Snickerdoodle cookies from his dingle berries and toe jam.
ivbKmIPAQQimO32cKmernw	Chuck Norris recently drank a large glass of liquid Ebola, then state that anyone who is scared of it is a total pussy.
N1csrGVCSb-sye88kguC1Q	A talk show host told Chuck Norris that Justin Bieber is a no talent, lying, lowdown, egg sucking dog. Chuck said "that's not true, Bieber does not like eggs".
xjxvc9u4SPSq88cxFxcVyw	A reporter asked Chuck Norris how he would describe Kim Kardasian: Actress? Socialite? Chuck pondered this and replied "naw, she's mostly a soul brother-fucker".
Sz666pc0Sz61Cl0_AjCD7g	Chuck Norris knows all the numbers in &#8719;
lJ7AXsAPSemZff_B21WV4A	Every pet Chuck Norris has owned could shoot laser beams out of there eyes
BlpF9c2tQ8GvgJXHQ0Zg9g	Chuck Norris's spit is the cure(they dont want you to know) for the swine flu
MKQkhlkaTwCOjzkOA4Yuwg	Chuck Norris is not only a noun but a verb
JtSAf7NWQruhZn4ZGGGxaQ	They once made Chuck Norris toilet paper. The only problem was that it wouldn't take shit from no one!
zQAMeqQyTmKsGgrWdiBa_Q	Little known fact: Chuck Norris was, briefly, the only Spice Boy. He was known as Violent Spice.
O2DVbXZFR2eegZpvFVhvUg	Chuck Norris is FATHER Nature.
6L4QJ0VFQPC0PvhBWsrZEA	Chuck Norris has 3 birthdays a year
mh-3IE9ySYKIzNdFoueDcA	Chuck Norris died yesterday. He's fine today.
qp_3uB3bSm6kwYumjQc6bA	For the rare occasions that Chuck Norris sleeps: An electric chair must be used in combination with 56 - 60 sledgehammer blows to the face in order for Chuck Norris to be awoken. Chuck Norris immediately becomes enraged and destroys his surroundings soon after being awoken.
SYUwLNQWQeq8aYZMnmgCIQ	A Handicap parking sign does not signify that this spot is for handicapped people. It is actually in fact a warning, that the spot belongs to Chuck Norris and that you will be handicapped if you park there.
jePaSD59T2GhTPBY3zW1HA	Chuck Norris will liquify your kidneys and pancreas when he sneezes
SBGHXgnySDmn6SfdLkVWng	Chuck Norris was once offered the title of "The American Man" but declined it, For Chuck Norris is to awsome to be claimed by any country.
ltOIqO7nS1Wj905mV2XHdw	If you receive an invitation from Chuck Norris to attend a Texas Tea Party rally, it is actually his secret code for you to come over for a fun filled evening of jello shooters, beer pong & strip poker.
n3Lo6xzmQEG84GX7_DttwQ	Chuck Norris once kicked a foot ball so hard it went into orbit and took out the command ship of an alien armada that where plotting to take over the earth ... they soon changed there minds
J176L5q7TFyZESQOeIeyXw	when cjuck norris get bitten by a zombie, Chuck Norris doesnt turn into a zombie the zombire turns in to Chuck Norris
SMKcz4vcQ7S-vnQku4wZsg	Chuck Norris is better than Billy Madison's shampoo and conditioner.
jpWRorhwSSmVh4EzW00oXQ	There are no Chuck Norris Jokes. Only Chuck Norris Facts.
vI472gORT2GSyYkAKUkeuQ	The cosmic microwave background radiation is a remnant of Chuck Norris' birth.
NFo3Wb5lQ2C2ZcakS95Zfw	as a kid Chuck Norris carried out over 11 sucsessful scuicide bombing missions for the u.s. millitary... the most well known was his attack hiroshima
32f-BKdsTUCbbTSRLM3hIg	The so-called Most Interesting Man in the World prefers Dos Equis beer.   The truly Most Interesting Man in the World, Chuck Norris, always drinks American beer, thank you very fucking much.
_FQMFCdzThSl0eh6R3e80A	Chuck Norris went to Burger King and ordered a Big Mac, 6 piece chicken mcnugget , and a hot apple pie. AND GOT IT !!
fw_gwlvrsl-7fxjvezotuq	Chuck Norris doesn't believe in ravioli. He stuffs a live turtle with beef and smothers it in pig's blood.
BCP_II1FQeaj6dSw5m0uog	There once was a Chuck Norris toilet paper brand, but it would not take shit from anyone.
8sZ_4MsmSoqWAaLySUVWLQ	Chuck Norris is so hard he jumped from the effiel tower broke both his legs and walked to the hospital
9ae2luP8RP-9wqvC7ig4TA	Someone once put Chuck Norris on hold, that's where the term "Choke Hold" comes from.
_NPBsGp9Q1G7DpJZSKpkEg	In honour of Chuck Norris, McDonald's has introduced the McChuck Burger: nine slabs of ox meat, jalapenos, three live scorpions, an ounce of marijuana and a pint of tobasco sauce on two loaves of bread. $399, or $900 for the Happy Meal (with fries and a medium whiskey, and a signed picture of Norris' erection)
UksQAvEdSiCy9KO5WvwZXA	Chuck Norris is considered to be high-class Norristocrat.
BLaleSEETHGu63sYX8D19w	Nostradamus didn't predict his spectacular beheading by Chuck Norris
9SzR1HFhQYKgLmwr2dnYYQ	If Chuck Norris ever ruined your life, you'd probably want to kill him. But you couldn't.
pb9eeiVUT8uif6pWGRbQ2w	The National Weather Service was going to name a hurricane after Chuck Norris but television stations would not allow them to call it "Hurricane Fuck'em Up Chuck".
nj19y6OkQSu7n0tYiPn4FA	Chuck Norris once interrogated agent Smith.
